Sentimen;stemming
Positif;['pantai', 'indah', 'letak', 'pulau', 'gili', 'genting', 'tenang', 'bersihuntuk', 'mencapainyaperlu', 'seberang', 'kapal', 'labuh', 'tanjung', 'sumenep']
Positif;['pantai', 'bersih', 'tenang', 'cocok', 'healing', 'hindar', 'ramai', 'kota']
Positif;['sumenep', 'salahsatu', 'kabupaten', 'wisata', 'indah', 'nikmat', 'salah', 'satu', 'gili', 'genting', 'pantai', 'sembilan', 'sumenepnya', 'nyebrang', 'menit', 'ohiya', 'perahu', 'cuman', 'angkut', 'manusia']
Positif;['bagus', 'biaya', 'masuk', 'murah', 'sedia', 'inap', 'ribu', 'malam']
Positif;['pantai', 'indah', 'nyaman', 'kunjung', 'teman', 'keluarga', 'cinta', 'sport', 'berfotofoto', 'ria', 'wahana', 'main', 'seru', 'main', 'rumah', 'sewa']
Positif;['masuk', 'kesini', 'kasih', 'gratis', 'jaga', 'pantai', 'banget', 'nama', 'bang', 'saipul', 'haha', 'terima kasih', 'bang', 'direpotin', 'jaga', 'pantai', 'hahaha', 'suruh', 'antar', 'laut', 'rumah', 'apung']
Positif;['pantai', 'bagus', 'pasir', 'putih', 'ombak', 'gede', 'akses', 'nyebrang', 'labuh', 'tanjung', 'gaes']
Positif;['pantai', 'bagus', 'lumayan', 'bersih', 'sayang', 'luas', 'tiket', 'masuk', 'ribu', 'sedia', 'inap', 'ribu', 'kamar', 'mandi', 'ribu', 'kamar', 'mandi']
Negatif;['pantai', 'bagus', 'infrastrukturx', 'bangaus', 'banyakx', 'sampah', 'wisatax', 'bersih']
Positif;['pantai', 'sungguh', 'cantik', 'kelola', 'fasilitas', 'lengkap', 'cocok', 'jadi', 'libur', 'keluarga', 'rekan', 'sahabat', 'saran', 'tambah', 'spot', 'spot', 'foto', 'moga', 'indah', 'penampilannyasehingga', 'pesona', 'recommended', 'for', 'healing']
Positif;['tempat', 'sejuk', 'bawah', 'pohon', 'laut', 'hembus', 'angin', 'milir', 'pantai', 'ac', 'alami', 'allah', 'hampar', 'pandang', 'laut', 'luas', 'pulau', 'mushalla', 'ibadah', 'air', 'tawar', 'bersih', 'kedai', 'makan', 'makan', 'berat', 'nasi', 'bakso', 'mieso', 'soto', 'dll', 'pondok', 'nginapnya', 'gaes']
Positif;['bagus', 'banding', 'pantai', 'madura', 'rusak', 'pantai', 'salah', 'awat', 'minimal', 'kamar', 'mandi', 'inap', 'bersih', 'jaga', 'fasilitas', 'mck', 'musholla', 'lumayan', 'bersih', 'layak', 'akses', 'labuh', 'mudah']
Positif;['pantai', 'bersih', 'pasir', 'putih', 'laut', 'biru', 'inap', 'jajan', 'camp', 'lengkap', 'banget', 'sana', 'jatuh', 'cinta', 'pandang', 'pantai']
Positif;['keren', 'tempat', 'libur', 'keluarga', 'makan', 'siang', 'gazebo', 'kuliner', 'muantabek', 'udara', 'sejuk', 'next', 'fasumnya', 'tambah', 'perhati']
Positif;['air', 'pantai', 'biru', 'indah', 'banget', 'kesana', 'pas', 'weekday', 'sepi', 'warung', 'tutup', 'masuk', 'gratis', 'jaga', 'bayar', 'ongkos', 'perahu']
Positif;['deg', 'deg', 'an', 'seberang', 'pulau', 'perahu', 'aman', 'orang', 'tua', 'maksud', 'akses', 'turun', 'perahu', 'darat', 'susah', 'puas', 'pandang', 'pantai']
Positif;['pantai', 'ombak', 'tenang', 'murah', 'tiket', 'masuk', 'seberang', 'pasir', 'putih', 'sedia', 'inap', 'tepi', 'pantai', 'murah', 'bagus', 'tingkat', 'bersih', 'tepi', 'pantai', 'kelola', 'moga', 'asri', 'kembang', 'maju']
Positif;['view', 'cantik', 'fasilitas', 'enggak apa', 'bayar', 'cantik', 'alam']
Positif;['salah', 'pantai', 'sumenep', 'madura', 'bagus', 'bersih', 'pantai', 'sembilan', 'gili', 'trawangan', 'lombok', 'alternatif', 'jauh', 'lombok', 'hehehe', 'butuh', 'menit', 'menyebrang', 'pantai', 'sembilan', 'tiket']
Negatif;['pantai', 'bagus', 'bening', 'renang', 'butek', 'soale', 'isi', 'lumpur', 'bawahe', 'inap', 'puanas', 'dapetnya', 'pojok']
Positif;['pantai', 'bersih', 'akses', 'kesana', 'sulit', 'ojek', 'antar', 'labuh', 'kendara', 'pakai', 'bis', 'pakai', 'ojek']
Positif;['surga', 'sembunyi', 'pantai', 'sembilan', 'sungguh', 'bagus', 'bersih', 'pandang', 'awan', 'cerah', 'laut', 'biru', 'pasir', 'putih', 'sungguh', 'manja', 'mata', 'kesana', 'seberang', 'biaya', 'kapal', 'ribu', 'orang']
Negatif;['nyebrang', 'pakai', 'perahu', 'pantai', 'lombang', 'mending', 'lombang']
Positif;['pantai', 'pasir', 'putih', 'indah', 'cuaca', 'cerah', 'gazebo', 'teduh', 'sedia', 'inap', 'wisatawan', 'kunjung', 'sedia', 'warung', 'jual', 'makan', 'minum', 'ramah', 'kantong', 'tempuh', 'kapal', 'boat', 'labuh', 'tanjung', 'saronggi']
Positif;['destinasi', 'bagus', 'libur', 'tempat', 'bersih', 'pantai', 'bagus', 'air', 'jernih', 'kesana', 'pakai', 'motor', 'bawa', 'bayar', 'uang', 'tambah', 'menyebrangan', 'perahu', 'sana', 'keliling', 'pulau', 'giligenting']
Positif;['pantai', 'sembilan', 'salah', 'wisata', 'wajib', 'kunjung', 'pergi', 'sumenep', 'seberang', 'pulau', 'gili', 'labak', 'perahu', 'jalan', 'menit']
Positif;['lumayan', 'enak', 'camp', 'bawa', 'tenda', 'kapal', 'sedia', 'jam', 'sore', 'harga', 'ribu', 'orang', 'karcis', 'masuk', 'pantai', 'rborng', 'nginep', 'ac']
Positif;['tempuh', 'jam', 'labuh', 'tanjung', 'sumenep', 'madura', 'akses', 'kendara', 'tanjung', 'mudah', 'angkot', 'ojek', 'harap', 'perhati', 'banyak', 'daerah', 'cuaca', 'cerah', 'pantai']
Positif;['salah', 'destinasi', 'wisata', 'kabupaten', 'sumenep', 'wajib', 'kunjung', 'tepat', 'kecamatanpulau', 'gili', 'genting', 'desa', 'bringsang', 'kabupaten', 'sumenep', 'kesana', 'tempuh', 'labuh', 'tanjung', 'saronggi', 'sumenep']
Positif;['jalan', 'nikmat', 'indah', 'samudera', 'pantai', 'ombak', 'tenang', 'main', 'banana', 'boats', 'worth', 'fall', 'love', 'with', 'samudera']
Positif;['pantai', 'keren', 'bersih', 'cottage', 'nyaman', 'makan', 'oke', 'suasana', 'pantai', 'vibesnya', 'banget']
Positif;['pantai', 'bagus', 'fasilitas', 'lengkapsudah', 'penginapanbisa', 'ngecamp', 'nyebrang', 'labuh', 'tanjung', 'saronggi', 'kab', 'sumenepsktr', 'nyebrang', 'pulaumotorpun', 'pulau']
Positif;['wisata', 'pantai', 'rekomended', 'view', 'pantai', 'pasir', 'halus', 'bersih', 'warna', 'instagramable', 'cocok', 'wisata', 'keluarga']
Negatif;['pantai', 'pasir', 'putih', 'air', 'laut', 'biru', 'bersih', 'hilang', 'stres', 'cuaca', 'panas', 'banget', 'sianglbih', 'bagus', 'sore', 'prahu', 'trakhir', 'jm', 'sore', 'inap', 'pnginapan', 'dpinggir', 'pntqi', 'prmalam', 'prahu', 'ribu', 'orang', 'jm', 'pnumpqng', 'carter']
Positif;['pantai', 'pulau', 'sembilan', 'butuh', 'mnit', 'pulau', 'madura', 'labuh', 'tanjung', 'saronggi', 'sumenep', 'kapal', 'biaya', 'ribu', 'pantai', 'bersih', 'laut', 'biru', 'toko', 'cemilan', 'harga', 'jangkau']
Positif;['wisata', 'pantai', 'pulau', 'gili', 'genting', 'tepat', 'desa', 'bringsang', 'kabupaten', 'sumenep', 'pantai', 'yuang', 'luas', 'kesan', 'kenang', 'manis', 'wisata', 'lokal', 'kota', 'puas']
Positif;['pantai', 'indah', 'layak', 'kunjung', 'pacar', 'sahabat', 'keluarga', 'pasir', 'putih', 'laut', 'biru', 'manja', 'mata', 'spot', 'foto', 'santa', 'saung', 'biaya', 'masuk']
Positif;['pantai', 'asik', 'sepi', 'unjung', 'camping', 'inap', 'keliling', 'pesisir', 'pantai', 'duduk', 'ramah', 'rawat', 'pantai', 'pagi', 'nyapuin', 'sampah', 'pesisir', 'pantai', 'bawa', 'air', 'laut']
Negatif;['pantai', 'lumayan', 'bagus', 'selfi', 'keren', 'hasil', 'ambil', 'angle', 'pas', 'infrastruktur', 'pada', 'air', 'bersih', 'toilet', 'pada', 'pas', 'sedia', 'mushola', 'jalan', 'lumayan', 'masjid', 'wajib', 'bawa', 'topi', 'kacamata', 'hot', 'banget']
Negatif;['pantai', 'bagus', 'lumayan', 'sampah', 'tolong', 'buang', 'sampah', 'tempat', 'pp', 'nyebrang', 'kapal', 'menit', 'mual', 'biasa']
Positif;['mantap', 'jiwakeren']
Positif;['pantai', 'bersih']
Positif;['pantai', 'bersih', 'fasilitas', 'homestay', 'berac', 'nonac', 'kamar', 'mandi', 'toilet', 'musola', 'warung', 'menu', 'relatif', 'sederhana', 'rujak', 'nasi', 'campur', 'lauk', 'telor', 'ayam', 'rawon', 'pesan', 'ikan', 'bakar', 'sarana', 'main', 'laut', 'banana', 'boat', 'snorkeling', 'spot', 'foto', 'mantap', 'recomended']
Positif;['ketjeeee', 'woy', 'gila', 'main', 'tanoa', 'rencana', 'banget', 'iseng', 'doang', 'main', 'sumenep', 'rejeki', 'anak', 'sholehah', 'mana', 'diajakin', 'main', 'pantai', 'keren', 'takjub', 'akses', 'kesini', 'mudah', 'murah']
Positif;['pantai', 'letak', 'pulau', 'madura', 'tepat', 'kab', 'sumenep', 'camat', 'gili', 'genting', 'eksotik', 'sempat', 'wisata', 'madura', 'sempat', 'pulau', 'desa']
Positif;['wisata', 'pantai', 'keren', 'kabupaten', 'sumenep', 'lengkap', 'inap', 'pantai', 'nyeberang', 'perahu', 'bawa', 'kendara', 'titip', 'rumah', 'warga', 'seberang', 'harga', 'murah', 'jangkau']
Positif;['pantai', 'recommended', 'pengin', 'libur', 'warga', 'ramahramah', 'murah', 'riah', 'inap', 'bawa', 'tenda', 'fasilitas']
Positif;['hi', 'maduratepatnya', 'daerah', 'sumenep', 'yaajauuuhh', 'banget', 'gaeskarena', 'jombang', 'bayar', 'indah', 'elo', 'pantai', 'inihamparan', 'pasir', 'putih', 'bentang', 'luas', 'akan', 'sambut', 'datang']
Netral;['pantai', 'bersih', 'pagi', 'pagi', 'saksi', 'tukang', 'sapu', 'bersih', 'pantai']
Positif;['sumenep', 'guys', 'jalan', 'kaki', 'dikit', 'kapal', 'pakai', 'kapal', 'muat', 'orang', 'bayang', 'kapal', 'duduk', 'leha', 'cantik', 'pakai']
Positif;['pantai', 'alami', 'suejuk', 'indah', 'matahri', 'terbitmalamnya', 'indah', 'sunyi']
Positif;['tarik', 'bebas', 'hiruk', 'pikuknya', 'kota', 'janji', 'sunrise', 'sunset', 'indah', 'pantai', 'bersih', 'air', 'jernih']
Positif;['beautiful', 'place', 'ekspetasi', 'sunset', 'sunrise', 'pantai', 'inap', 'menit', 'penyebrangan', 'sumenep', 'biaya', 'masuk', 'murah', 'nyebrangin', 'motor', 'wilayah', 'pantai', 'luas', 'gubuk', 'buat', 'akomodasi', 'untung', 'pantai', 'jelek']
Positif;['pantai', 'bersih', 'fasilitas', 'dermaga', 'toilet', 'bersih', 'luasairnya', 'bagus', 'fasilitas', 'mesin', 'cucu']
Positif;['pantai', 'bersih', 'pandang', 'indah', 'cuaca', 'cerah', 'makan', 'standartnasi', 'campur', 'mie', 'instan', 'harga', 'jangkau', 'ngopi', 'obrol', 'asyik']
Positif;['kenang', 'lupa', 'pantai', 'indah', 'pesona', 'pantai', 'tempuh', 'jam', 'gili', 'labak', 'kendara', 'kapal', 'feri', 'pesan', 'pantai', 'sembilan', 'sore', 'ombak', 'dahsyat', 'inap', 'pagi', 'aman', 'sore', 'resiko']
Positif;['bersih', 'banget', 'pantai', 'air', 'jernih', 'banget', 'biru', 'sana', 'cottage', 'malam', 'harga', 'cottagemalam', 'gili', 'genting', 'gili', 'labak', 'pesona']
Positif;['nyebrang', 'dermaga', 'jam', 'tempat', 'bagus', 'banget', 'kesana', 'inap', 'semalem', 'ribu', 'ribu', 'ribu', 'orang']
Positif;['pantai', 'bersih', 'bagus', 'indah', 'udara', 'segar', 'polusi', 'siang', 'panas', 'pohon', 'teduh', 'akses', 'lokasi', 'perahu', 'kayu', 'seberang', 'menit', 'sedia', 'inap', 'malam', 'nikmat', 'pandang', 'panti', 'malam']
Positif;['pantai', 'luaspasirnya', 'putih', 'butir', 'kasar', 'fasilitas', 'yahud', 'ukur', 'kabupaten', 'sumenep', 'spot', 'foto', 'atv', 'inap', 'banana', 'boat', 'camping', 'ground', 'toilet', 'dll', 'akses', 'labuh']
Positif;['bagus', 'pandang', 'nginep', 'moga', 'depan', 'bagus']
Positif;['wisata', 'bagus', 'sepi', 'bersih']
Positif;['kerennnnnn', 'pantai', 'bersih', 'sepi', 'nyaman', 'libur', 'homestay', 'ribu', 'malam', 'biaya', 'jangkau']
Netral;['pantai', 'bagus', 'bungalow', 'inap', 'bungalow', 'orang', 'harga', 'ktergantung', 'fasilitas']
Positif;['tampatnya', 'cantik', 'kayak', 'bal', 'lombok', 'pantai', 'bersih', 'panteslah', 'wisata', 'go', 'internasional']
Netral;['hopping', 'island', 'labuh', 'tanjung', 'mampir', 'pantai', 'sembilan', 'gili', 'genting', 'gili', 'labak', 'wisnan', 'kesini', 'jarak', 'cuman', 'jalan', 'pantai', 'pasir', 'putih', 'ombak', 'relatif', 'tenang']
Negatif;['bagus', 'refreshing', 'sayang', 'inap', 'awat', 'pas', 'suka', 'backpackeran']
Negatif;['pantai', 'bersih', 'sampah', 'unjung', 'sedia', 'sampah', 'tinggal', 'sadar', 'wisatawan', 'inap', 'sedia', 'berac', 'fasilitas', 'toilet', 'kunjung', 'wisatawan']
Netral;['pantai', 'tempuh', 'jalan', 'laut', 'menit', 'tanjung', 'saronggi', 'pantai', 'pasir', 'putih', 'spot', 'selfi', 'instagramable', 'inap', 'malam', 'nikmat', 'suasana', 'pantai', 'beda', 'malam']
Positif;['pantai', 'sepi', 'inap', 'pulau', 'gili', 'genting', 'ombak', 'tenang', 'banget', 'pasir', 'putih']
Netral;['good', 'place', 'for', 'relaxing', 'your', 'mind', 'pantai', 'sembilan', 'gili', 'genting', 'sebarang', 'tanjung']
Positif;['pantai', 'pasir', 'putih', 'jernih', 'masihada', 'inap', 'weekend', 'rame', 'main', 'banana', 'boatklo', 'libur', 'murah', 'riah', 'kesini']
Netral;['gili', 'labak', 'gili', 'genting', 'belah', 'timur', 'pulau', 'madura', 'pulau', 'beda']
Positif;['pantai', 'indah', 'pulau', 'gili', 'genting', 'lumayan', 'ramai', 'unjung', 'saungsaung', 'duduk', 'santai', 'inap', 'turis', 'inap', 'lumayan', 'bagus', 'mepet']
Positif;['pantai', 'kota', 'sumenep', 'smuanya', 'keren', 'air', 'jernih', 'pantai', 'bersih']
Positif;['nice', 'scenery', 'for', 'photo', 'spot', 'fasilitas', 'lengkap']
Positif;['tempat', 'asyik', 'libur', 'keluarga', 'pacar', 'plus', 'selingkuh', 'keren', 'pantai', 'sembilan', 'kades']
Positif;['untung', 'keluarga', 'nikmat', 'pantai', 'akan', 'pantai', 'milik', 'pribadi', 'keren', 'banget', 'tempat', 'bersih', 'air', 'jernih', 'panas', 'pasir', 'putih', 'bersih', 'wow', 'banget', 'ditemenin', 'kepala', 'desa', 'langsung', 'wow', 'amazing', 'banget']
Positif;['overall', 'bagus', 'bersih', 'perhati', 'fasilitas', 'butuh', 'perhati']
Netral;['pantai', 'sembilan', 'salah', 'pantai', 'pulau', 'biaya', 'masuk', 'inap', 'jangkau', 'kantong', 'mahasiswa', 'capai', 'lokasi', 'teman', 'labuh', 'bluto', 'sumenep']
Positif;['pulau', 'gili', 'genting', 'pantai', 'sembilan', 'pilih', 'tenang', 'pikir', 'privat', 'fasilitas', 'pada', 'banget', 'ramah', 'kantong']
Positif;['harga', 'inap', 'jangkau', 'tiket', 'menyebrang', 'kapal', 'warung', 'buka', 'jam']
Netral;['pantai', 'baguscocok', 'berenangsantaifoto', 'inap', 'sedia', 'harga', 'rbrbdan', 'juta', 'jalan', 'stngh', 'jam', 'labuh', 'saronggi']
Positif;['orang', 'ramah', 'makan', 'standart', 'mahal', 'khawatir', 'makan', 'jajan', 'jual', 'sana', 'libur', 'buka', 'jam']
Positif;['pulau', 'tengah', 'laut', 'madura', 'pandang', 'indah', 'suasana', 'tenang', 'inap', 'libur', 'hari', 'malam', 'pinggir', 'pantai']
Positif;['bersih', 'desain', 'unik', 'panas', 'foto', 'foto', 'siang', 'incar', 'turis', 'bawa', 'sunblock', 'jajajan', 'sana', 'jual', 'harga', 'mahal', 'pandang', 'eksotis', 'kapal']
Positif;['sunrisenya', 'oke', 'banget', 'ayo', 'libur', 'pantai', 'sembilan', 'bareng', 'madura', 'vacation', 'tour', 'travel', 'pantai', 'sembilan', 'sedia', 'cottage', 'tarif', 'ribu', 'malam', 'cottage']
Positif;['tempat', 'bagus', 'tiket', 'masuk', 'lumayan', 'uras', 'kantong', 'puas', 'pandang', 'suguh', 'potret', 'take', 'a', 'picture']
Positif;['kota', 'diri', 'pantai', 'sembilanpuas', 'bangetpantainya', 'bersihairnya', 'biru', 'jernih']
Positif;['pantai', 'sembilan', 'sumrnep', 'madura', 'wisata', 'saji', 'pandang', 'panorama', 'eksotis', 'indah', 'pantai', 'cantik', 'pasir', 'butihnya', 'bersih', 'sedia', 'wahana', 'main', 'banana', 'boat', 'ayun', 'perahu', 'dayung']
Positif;['suka', 'pantai', 'jalan', 'trvlng', 'modal', 'ribu', 'trmsk', 'biaya', 'keliling', 'sumenep', 'sktr', 'kali']
Positif;['pantai', 'ancol', 'versi', 'haha', 'jalan', 'seru', 'bayar', 'ribu', 'idah', 'nyebrang', 'pulau', 'genting', 'masuk', 'pantai', 'sembilan', 'bayar', 'ribu', 'gantibilas', 'siap', 'uang', 'ribu']
Negatif;['pantai', 'takingnya', 'kelola', 'dperbaeki']
Positif;['pantai', 'bagus', 'cocok', 'libur', 'keluarga', 'sahabat', 'sedia', 'inap', 'kjam', 'isi', 'orang', 'bro', 'mantap', 'banget', 'viewnya']
Positif;['pandang', 'masyaallah', 'bagus', 'banget', 'surga', 'dunia']
Positif;['pantai', 'bagus', 'inap', 'moga', 'kunjung']
Positif;['surga', 'sembunyi', 'ujung', 'pulau', 'madura']
Positif;['bagus', 'indah', 'kelola', 'inap', 'dingin', 'ruang', 'cocok', 'libur', 'keluarga', 'kantor', 'masyarakat', 'ramah']
Positif;['pantai', 'pasir', 'putih', 'indah', 'penyebrangan', 'kapal', 'sebentar', 'teman', 'kunjung', 'jaga', 'bersih', 'pantai', 'buang', 'sampah', 'sedia']
Positif;['alam', 'indah', 'asri']
Negatif;['kabupaten', 'pamekasan', 'kak', 'kabupaten', 'sumenep', 'pengin', 'unjung', 'pantai', 'sembilan', 'hasil', 'kecewa', 'berangkat', 'ribu', 'pulang', 'ribu', 'karcis', 'pantai', 'ribu', 'janji', 'kesini']
Negatif;['pantai', 'bagus', 'cuaca', 'panas', 'jarang', 'angin', 'hembus', 'coba', 'selam', 'dasar', 'laut', 'air', 'bibir', 'pantai', 'sungguh', 'kecewa', 'sampah', 'sampah', 'plastik', 'mohon']
Negatif;['bagus', 'rapi', 'wisata', 'fasilitas', 'pada', 'sayang', 'guna', 'plastik', 'kawasan', 'bahaya', 'sehat', 'lingkung', 'es', 'degan']
Positif;['indah', 'pantai', 'bersih', 'air', 'laut', 'jernih', 'cocok', 'pengin', 'libur', 'tenang', 'wisatawan']
Positif;['gili', 'genting', 'pantai', 'sembilan', 'istimewa', 'libur', 'tiket', 'masuk', 'ribu', 'rupiah']
Positif;['penyebrangan', 'pp', 'tiket', 'masuk', 'inap', 'harga', 'full', 'ac']
Negatif;['bagus', 'awat', 'bersih', 'pasir', 'sampah']
Positif;['salah', 'objek', 'wisata', 'madura', 'sumenep', 'hampar', 'pasir', 'putih', 'pantai', 'milik', 'uni', 'sendiri', 'garis', 'pantai', 'milik', 'bentuk', 'angka', 'sembilan', 'laguna', 'air', 'tengah', 'destinasi']
Positif;['tempat', 'bagus', 'surut', 'air', 'bersih', 'ombak', 'sayang', 'rantingranting', 'daundaunan', 'enak', 'sampah', 'plastik']
Positif;['its', 'a', 'beautifull', 'beach', 'can', 'be', 'next', 'destination', 'after', 'bal', 'island', 'air', 'jernih', 'kolam', 'renang', 'air', 'tenang', 'ombak', 'aman', 'anak', 'renang', 'awesome']
Positif;['nyaman', 'hangat', 'malam', 'recomended', 'banget', 'lepas', 'penat', 'view', 'pantai', 'bagus', 'suasana', 'malam', 'nyaman', 'fsilitas', 'inap', 'oke', 'banget', 'plus', 'ramah', 'kades', 'warga']
Positif;['masyaallah', 'kepiting', 'cumicumi', 'lupa', 'kunjung', 'kesini', 'bawa', 'pancing', 'umpan', 'udang', 'jaring', 'ikan']
Positif;['malam', 'eksotis', 'pengin']
Positif;['pantai', 'bersih', 'spot', 'foto', 'bagus', 'sedia', 'inap', 'kawasan', 'pantai', 'beli', 'makan']
Negatif;['pantai', 'bersih', 'bagus', 'nyaman', 'sampah', 'wisatawan', 'buang', 'sampah', 'laut', 'souvenir', 'minim', 'banget', 'susah', 'cari', 'olehkenangan', 'pantai', 'sembilan']
Positif;['pantai', 'indah', 'sunset', 'sunrise', 'lumayan', 'panas', 'lupa', 'bawa', 'sunscreen', 'hitam']
Positif;['tempat', 'indah', 'banget', 'top', 'layak', 'banget', 'libur', 'hilang', 'stres', 'keluarga', 'pacar']
Netral;['butuh', 'jam', 'jalan', 'darat', 'malam', 'surabaya', 'terminal', 'bungurasih', 'sampang', 'madura', 'perahu', 'jam', 'pantai', 'sembilan']
Netral;['pantai', 'sembilan', 'butuh', 'penyebrangan', 'menit', 'perahu', 'tiket', 'masuk', 'jangkau', 'pantai', 'bersih', 'awat', 'sedia', 'inap', 'loji', 'meskipu', 'kawasan']
Positif;['pantai', 'ok', 'libur', 'air', 'aman', 'renang']
Positif;['tempat', 'bersih', 'pagi', 'sore', 'mobil', 'angkut', 'sampah', 'ombak', 'tenang', 'harga', 'jangkau']
Positif;['lingkung', 'pantai', 'bersih', 'sampah', 'sera', 'bagus', 'foto', 'banana', 'boat', 'atv']
Positif;['pantai', 'apik', 'bersih', 'cocok', 'poto', 'instagramable', 'inap', 'pokok', 'e', 'siippppp']
Positif;['murah riah', 'banana', 'boat', 'makananminuman', 'inap', 'sayang', 'khas', 'pantai', 'sembilan']
Netral;['akomodasi', 'kapal', 'ribu', 'tiket', 'masuk', 'pantai', 'ribu', 'inap', 'ribu', 'sewa', 'kamar', 'rate', 'harga', 'rbmalam', 'boleh', 'diri', 'tenda', 'tokowarung', 'makan']
Positif;['bagus', 'banget', 'pantai', 'perahu', 'pp', 'tiket', 'masuk']
Positif;['salah', 'wisata', 'baik', 'pulau', 'giligenting', 'pantai', 'sembilan', 'jernih', 'laut', 'merefresh', 'penat']
Positif;['tempat', 'rekomended', 'wisata', 'pokok', 'emakanan', 'murah', 'enak', 'sesuai', 'harga']
Positif;['pantai', 'indan', 'mudah', 'jangkau', 'bersih', 'lengkap', 'istirahat', 'gazebo', 'resort', 'masuk', 'ribu', 'toilet', 'bersih']
Positif;['pantai', 'ujung', 'madura', 'pulau', 'indah', 'rugi', 'kesanasangat', 'saran', 'unjung', 'pulau']
Positif;['superrr', 'bagus', 'mah', 'benar', 'kesini', 'antangin', 'jalan', 'perahu', 'jam', 'kena', 'angin', 'mutah', 'over', 'all', 'super', 'oke', 'tempat', 'donat', 'boat', 'banana', 'boat', 'rborg', 'jamin', 'puas', 'banget', 'diputerin', 'lamaaaaaaa']
Positif;['pantai', 'luas', 'air', 'bening', 'fasilitas', 'pada', 'instagramable', 'cari', 'sampah', 'menit', 'kapal']
Negatif;['bagus', 'pasir', 'pantai', 'kotor']
Netral;['pesawat', 'surabaya', 'sumenep', 'kapal', 'pulau', 'giliginting', 'touring', 'motor', 'motor', 'dinaikin', 'kapal']
Positif;['tempat', 'bersih', 'cocok', 'refreshing', 'keluarga', 'air', 'tenang', 'bahaya', 'anak', 'anak']
Positif;['pantai', 'bersih', 'seruh', 'main', 'banana', 'boat', 'duduk', 'santa', 'inap', 'keren']
Positif;['wisata', 'kabupaten', 'sumenep', 'enak', 'libur', 'keluarga', 'teman', 'libur']
Negatif;['bagus', 'nyaman', 'kurang', 'tugas', 'bersih', 'tata', 'kelola', 'kuliner', 'bagus', 'kuliner', 'jual', 'sana', 'madura', 'makan', 'aksesoris', 'gelang', 'manik', 'dll']
Positif;['pantai', 'sembilan', 'letak', 'pulau', 'gili', 'genting', 'camat', 'gili', 'genting', 'kabupaten', 'sumenep', 'pantai', 'pasir', 'putih', 'akses', 'mudah', 'mudah', 'orang', 'kunjung', 'destinasi']
Positif;['pantai', 'bagusdi', 'pulau', 'madura', 'exotis', 'tawan', 'menyebrang', 'prahu']
Positif;['pantai', 'bagus', 'banget', 'kayak', 'lombok', 'akses', 'mudah', 'murah', 'banana', 'boat', 'atv', 'ayun', 'resort', 'makan', 'murah', 'rekomen', 'banget']
Negatif;['pantai', 'bagus', 'indah', 'fasilitas', 'kondisi', 'memperihatinkan', 'rusak']
Positif;['pandang', 'pantai', 'baguuss', 'serasa', 'pulau', 'lmyan', 'panas', 'siang', 'ksana', 'hehehe']
Negatif;['pulau', 'pantai', 'indah', 'pasir', 'putih', 'bagus', 'banget', 'cocok', 'libur', 'keluarga', 'cinta', 'sayang', 'inap', 'mahal', 'kamar', 'mandi', 'kamar', 'mandi', 'kotor', 'tingkat', 'bersih', 'pengunjungya', 'nyaman']
Positif;['pantai', 'pasir', 'putih', 'nuansa', 'alam', 'alami', 'masyarakat', 'ramah']
Positif;['pantai', 'laut', 'bilang', 'standar', 'spot', 'foto', 'area', 'pantai', 'laut', 'unik', 'pantai', 'sembilan', 'cottage', 'warna', 'warni', 'lucu', 'sayang', 'ramai', 'orang', 'foto', 'orang', 'lokal', 'pantai', 'sembilan', 'ramai', 'unjung']
Positif;['salah', 'destinasi', 'patut', 'kunjung', 'wisatawan', 'kunjung', 'madura', 'pantai', 'panorama', 'indah', 'air', 'biru', 'pasir', 'putih', 'untung', 'cuaca', 'cerah', 'saji', 'pandang', 'kagum']
Negatif;['pantai', 'bagussayangnya', 'sampah', 'sampah', 'banyakarea', 'karang', 'tandanamun', 'perahu', 'perhati', 'nabrak', 'karang', 'susah', 'gerak', 'sadar', 'unjung', 'jaga', 'indah', 'pantai']
Positif;['gili', 'gentingpantai', 'sembilan', 'wisata', 'ombak', 'landai', 'snorklingatau', 'renang']
Positif;['pantai', 'bersih', 'bagus', 'nyaman', 'keluarga']
Positif;['pantai', 'pasir', 'putih', 'air', 'biru', 'tempat', 'bagus', 'bersih', 'inap', 'jet', 'ski', 'inap', 'unjung', 'sore', 'kurang', 'belakang', 'hotel', 'kubur', 'orang', 'jurang', 'nyamansaran', 'banyak', 'sampah', 'sampah', 'tampung']
Negatif;['jernih', 'banget', 'air', 'sampah', 'laut']
Positif;['pulau', 'madura', 'banyak', 'orang', 'kenal', 'pulau', 'karapan', 'sapi', 'bebek', 'sinjaynya', 'pulau', 'madura', 'potensi', 'pulau', 'pisah', 'pulau', 'jawa', 'pulau']
Positif;['jalan', 'nyebrang', 'seru', 'pantai', 'rekomendasi', 'kunjung', 'bareng', 'keluarga', 'murah', 'muas']
Positif;['pantai', 'bersih', 'suasana', 'tenang', 'masyarakat', 'ramah', 'bagus', 'istirahat', 'pulau', 'wisata', 'damai']
Positif;['indah', 'inap', 'harga', 'relatif', 'jangkau', 'pandang', 'bagus', 'keren', 'honeymoon', 'renang', 'berhatihati', 'daerah', 'pantai', 'huni', 'babilaut', 'landak', 'laut']
